id,species,genotype,site,subsystem,tank,rack,qty,size
d3bcb24d-8722-428f-8b57-6093efb7c5ec,PC,PC41,Mote Summerland,All Summerland,E2,R1498,8,0
14ae5c50-d7cb-4cfd-bbf4-2d7a60461785,OF,OF125,Mote Summerland,All Summerland,A5,R1217,8,0.25
39d12981-5745-4073-8903-cf0808816cdc,MC,MC76,Mote Summerland,All Summerland,A4,R1970,8,0.25
2f606fb7-508f-4dfb-b583-4b6b893f1226,RADIANS,SR483,Mote Islamorada,,G15,R309,8,0.5
7fed49b4-94cc-4ab5-bc30-2e91574f7d3d,AP,AP13,Mote Summerland,All Summerland,W6,R346,8,0.5
791e5232-af67-44b9-90ce-3f58fca5169c,SIDEREA,SS491,Mote Islamorada,,G7,R285,8,0.5
d83c22f0-fa87-4e90-b26c-a51c76a1968d,DIFFUSA,OD3,Mote Key Largo,,G3,R189,8,0.5
ce778171-c832-41de-8913-7aab6b4e82a3,OA,OA8,Mote Islamorada,,G2,R251,8,1
f5d6ceb6-e6a8-4d2c-ba30-bdf00db6e634,SB,SB74,Mote Islamorada,,G16,R266,8,0.75
03a66980-0892-47d9-904d-bed43bae473c,CN,CN21,Mote Summerland,All Summerland,Q9,R292,8,1
d6ceb98e-3e10-4323-a3e5-f89662087065,DL,DL166,Mote Summerland,All Summerland,C4,R421,8,0.5
99ef37f6-2427-4a09-b70d-d5aebb14deac,MC,MC61,Mote Summerland,All Summerland,F3,R1411,8,0.75
84474188-d1b1-4d14-bbf0-fef161bc8557,MC,MC102,Mote Summerland,All Summerland,F3,R1411,8,0.75
a3ba8e43-48fe-4904-b79d-52dd3843f5c4,OF,OF671,Mote Summerland,All Summerland,C4,R941,8,0.25
97408e35-0b9f-4856-b826-c6fd6f2f5aa4,OF,OF1101,Mote Summerland,All Summerland,C4,R1927,8,0.25
0b20c329-904f-466f-92d4-99f8d097326e,SIDEREA,SS91,Mote Summerland,All Summerland,C1,R578,8,0.25
2ef3cffb-efff-4550-b277-e31c7f776afc,PA,PA409,Mote Summerland,All Summerland,A3,R197,8,0.25
e2489ad2-c645-46fa-b1e2-a43919bb01d9,PA,PA421,Mote Summerland,All Summerland,A3,R1279,8,0.25
a9eb6439-7ed5-4631-a120-d791fce008ca,DL,DL274,Mote Islamorada,,G10,R201,8,0.75
76ff522f-cb40-46cc-814d-81c1431d2705,SIDEREA,SS508,Mote Islamorada,,G16,R57,8,
1cf35098-4e95-44db-93a0-cacced41be32,DL,DL279,Mote Islamorada,,G8,R38,8,0
8ae0cb58-17a9-4714-b165-fc1521f069f1,AC,AC97,Mote Islamorada,,G11,R1008,8,1
515bcc9d-40bd-427e-b9b2-66e6081bbae7,AC,AC97,Mote Islamorada,,G11,R1006,8,1
c99ed854-bf0e-47a5-95a0-49a50ea7d95d,AC,AC97,Mote Islamorada,,G11,R1009,8,1
